rater_id,pair_id,brief_id,industry,comparison_type,preferred_output,premium_quality_A,premium_quality_B,business_alignment_A,business_alignment_B,distinctness_A,distinctness_B,confidence_collaboration_A,confidence_collaboration_B,time_to_acceptable_A_min,time_to_acceptable_B_min,evaluation_type
rater_02,brief-105::pair_ai_cdo_vs_sft,brief-105,consumer,AI-CDO_vs_SFT,A,10,6,9,5,10,6,8,6,12,25,blind_comparison
rater_02,brief-147::pair_sft_vs_baseline,brief-147,consumer,SFT_vs_Baseline,Tie,8,5,7,6,7,7,7,6,13,22,blind_comparison
rater_02,brief-066::pair_sft_vs_baseline,brief-066,media,SFT_vs_Baseline,A,8,7,7,6,7,7,6,6,13,20,blind_comparison
rater_02,brief-082::pair_sft_vs_baseline,brief-082,saas,SFT_vs_Baseline,Tie,7,7,8,6,7,7,8,6,15,19,blind_comparison
rater_02,brief-074::pair_ai_cdo_vs_sft,brief-074,manufacturing,AI-CDO_vs_SFT,A,9,5,10,7,10,7,10,7,12,26,blind_comparison
rater_02,brief-060::pair_ai_cdo_vs_baseline,brief-060,government,AI-CDO_vs_Baseline,Tie,7,8,8,7,10,6,8,6,10,19,blind_comparison
rater_02,brief-078::pair_ai_cdo_vs_baseline,brief-078,legal,AI-CDO_vs_Baseline,A,8,5,10,7,8,6,9,7,10,20,blind_comparison
rater_02,brief-143::pair_ai_cdo_vs_baseline,brief-143,fintech,AI-CDO_vs_Baseline,Tie,8,7,7,8,8,7,9,6,9,27,blind_comparison
rater_02,brief-010::pair_ai_cdo_vs_sft,brief-010,fintech,AI-CDO_vs_SFT,A,9,7,9,6,9,5,9,7,10,21,blind_comparison
rater_02,brief-101::pair_ai_cdo_vs_baseline,brief-101,edtech,AI-CDO_vs_Baseline,A,9,5,9,6,10,5,8,7,9,24,blind_comparison
rater_02,brief-150::pair_sft_vs_baseline,brief-150,saas,SFT_vs_Baseline,Tie,8,7,8,6,8,7,8,5,16,19,blind_comparison
rater_02,brief-123::pair_ai_cdo_vs_baseline,brief-123,manufacturing,AI-CDO_vs_Baseline,A,10,7,9,6,9,5,8,7,10,22,blind_comparison
rater_02,brief-048::pair_ai_cdo_vs_sft,brief-048,saas,AI-CDO_vs_SFT,A,9,7,9,6,10,6,9,6,10,25,blind_comparison
rater_02,brief-113::pair_ai_cdo_vs_baseline,brief-113,nonprofit,AI-CDO_vs_Baseline,A,9,5,10,7,10,5,9,6,11,25,blind_comparison
rater_02,brief-045::pair_ai_cdo_vs_sft,brief-045,media,AI-CDO_vs_SFT,A,9,7,9,5,9,5,8,7,9,19,blind_comparison
rater_02,brief-095::pair_sft_vs_baseline,brief-095,government,SFT_vs_Baseline,B,8,6,7,6,8,5,8,6,14,16,blind_comparison
rater_02,brief-133::pair_sft_vs_baseline,brief-133,nonprofit,SFT_vs_Baseline,A,8,6,7,7,7,6,6,5,15,18,blind_comparison
rater_02,brief-126::pair_ai_cdo_vs_sft,brief-126,saas,AI-CDO_vs_SFT,A,9,5,9,6,10,5,9,6,10,19,blind_comparison
rater_02,brief-139::pair_ai_cdo_vs_baseline,brief-139,consumer,AI-CDO_vs_Baseline,Tie,8,7,7,8,10,5,9,7,10,24,blind_comparison
rater_02,brief-060::pair_ai_cdo_vs_sft,brief-060,manufacturing,AI-CDO_vs_SFT,A,9,6,9,6,10,7,10,7,12,19,blind_comparison
rater_02,brief-016::pair_sft_vs_baseline,brief-016,nonprofit,SFT_vs_Baseline,A,8,7,7,5,8,5,7,6,12,18,blind_comparison
rater_02,brief-118::pair_ai_cdo_vs_baseline,brief-118,nonprofit,AI-CDO_vs_Baseline,A,10,5,9,7,8,5,8,6,12,24,blind_comparison
rater_02,brief-108::pair_sft_vs_baseline,brief-108,fintech,SFT_vs_Baseline,A,7,5,7,5,8,6,6,5,16,17,blind_comparison
rater_02,brief-085::pair_sft_vs_baseline,brief-085,government,SFT_vs_Baseline,Tie,8,5,7,5,7,6,7,6,14,17,blind_comparison
rater_02,brief-094::pair_sft_vs_baseline,brief-094,legal,SFT_vs_Baseline,Tie,8,5,7,7,7,6,6,7,16,18,blind_comparison
rater_02,brief-006::pair_ai_cdo_vs_sft,brief-006,edtech,AI-CDO_vs_SFT,A,10,5,10,6,10,5,9,7,12,23,blind_comparison
rater_02,brief-127::pair_ai_cdo_vs_sft,brief-127,proptech,AI-CDO_vs_SFT,A,10,5,9,7,9,5,9,5,8,25,blind_comparison
rater_02,brief-089::pair_ai_cdo_vs_sft,brief-089,ecommerce,AI-CDO_vs_SFT,A,10,7,10,7,10,5,8,6,8,18,blind_comparison
rater_02,brief-134::pair_sft_vs_baseline,brief-134,media,SFT_vs_Baseline,B,7,7,7,6,8,5,6,6,15,19,blind_comparison
rater_02,brief-141::pair_ai_cdo_vs_baseline,brief-141,healthcare,AI-CDO_vs_Baseline,A,9,7,9,5,10,6,9,5,12,20,blind_comparison
rater_02,brief-100::pair_ai_cdo_vs_baseline,brief-100,consumer,AI-CDO_vs_Baseline,Tie,7,7,8,7,8,7,9,7,12,18,blind_comparison
rater_02,brief-069::pair_ai_cdo_vs_sft,brief-069,media,AI-CDO_vs_SFT,A,10,6,9,7,10,5,10,7,8,20,blind_comparison
rater_02,brief-005::pair_ai_cdo_vs_baseline,brief-005,ecommerce,AI-CDO_vs_Baseline,Tie,7,8,7,7,8,5,9,5,13,20,blind_comparison
rater_02,brief-020::pair_ai_cdo_vs_baseline,brief-020,saas,AI-CDO_vs_Baseline,A,9,7,9,6,8,6,9,6,12,25,blind_comparison
rater_02,brief-053::pair_sft_vs_baseline,brief-053,ecommerce,SFT_vs_Baseline,Tie,7,5,8,6,8,5,8,7,15,19,blind_comparison
rater_02,brief-076::pair_ai_cdo_vs_baseline,brief-076,consumer,AI-CDO_vs_Baseline,A,8,5,9,7,9,6,9,5,12,23,blind_comparison
rater_02,brief-124::pair_ai_cdo_vs_baseline,brief-124,legal,AI-CDO_vs_Baseline,A,8,7,9,5,10,6,9,7,9,26,blind_comparison
rater_02,brief-001::pair_sft_vs_baseline,brief-001,saas,SFT_vs_Baseline,Tie,8,5,8,5,7,5,8,6,14,20,blind_comparison
rater_02,brief-002::pair_sft_vs_baseline,brief-002,fintech,SFT_vs_Baseline,B,8,7,8,5,7,5,7,5,16,21,blind_comparison
rater_02,brief-045::pair_ai_cdo_vs_baseline,brief-045,proptech,AI-CDO_vs_Baseline,A,8,7,10,5,10,5,9,5,10,25,blind_comparison
rater_02,brief-097::pair_sft_vs_baseline,brief-097,proptech,SFT_vs_Baseline,A,8,6,7,6,7,6,8,5,12,19,blind_comparison
rater_02,brief-107::pair_sft_vs_baseline,brief-107,consumer,SFT_vs_Baseline,A,7,6,8,6,7,5,6,6,12,16,blind_comparison
rater_02,brief-073::pair_ai_cdo_vs_sft,brief-073,consumer,AI-CDO_vs_SFT,A,9,6,9,6,10,5,8,7,9,20,blind_comparison
rater_02,brief-081::pair_sft_vs_baseline,brief-081,consumer,SFT_vs_Baseline,A,7,7,8,7,8,7,7,5,16,19,blind_comparison
rater_02,brief-058::pair_ai_cdo_vs_sft,brief-058,saas,AI-CDO_vs_SFT,A,10,6,10,5,9,5,9,6,10,23,blind_comparison
rater_02,brief-123::pair_ai_cdo_vs_sft,brief-123,media,AI-CDO_vs_SFT,A,10,7,9,6,9,6,10,7,10,23,blind_comparison
rater_02,brief-142::pair_sft_vs_baseline,brief-142,saas,SFT_vs_Baseline,A,7,6,7,5,7,6,8,5,13,16,blind_comparison
rater_02,brief-062::pair_ai_cdo_vs_baseline,brief-062,proptech,AI-CDO_vs_Baseline,A,10,7,10,5,9,7,9,5,11,18,blind_comparison
rater_02,brief-097::pair_ai_cdo_vs_sft,brief-097,legal,AI-CDO_vs_SFT,A,9,5,10,7,9,7,9,6,8,22,blind_comparison
rater_02,brief-123::pair_sft_vs_baseline,brief-123,saas,SFT_vs_Baseline,Tie,8,5,7,7,7,6,7,7,13,22,blind_comparison
rater_02,brief-115::pair_sft_vs_baseline,brief-115,government,SFT_vs_Baseline,Tie,8,5,8,6,7,5,6,7,12,18,blind_comparison
rater_02,brief-109::pair_sft_vs_baseline,brief-109,legal,SFT_vs_Baseline,A,7,5,7,5,7,7,6,7,12,20,blind_comparison
rater_02,brief-092::pair_ai_cdo_vs_sft,brief-092,ecommerce,AI-CDO_vs_SFT,A,10,6,10,7,9,5,10,7,12,21,blind_comparison
rater_02,brief-082::pair_ai_cdo_vs_baseline,brief-082,government,AI-CDO_vs_Baseline,A,8,5,10,7,10,6,8,6,12,20,blind_comparison
rater_02,brief-031::pair_sft_vs_baseline,brief-031,government,SFT_vs_Baseline,B,8,5,7,5,8,7,6,7,12,22,blind_comparison
rater_02,brief-023::pair_ai_cdo_vs_sft,brief-023,fintech,AI-CDO_vs_SFT,A,10,7,10,7,10,5,8,7,12,22,blind_comparison
rater_02,brief-052::pair_ai_cdo_vs_sft,brief-052,fintech,AI-CDO_vs_SFT,A,9,5,10,7,9,7,8,7,12,18,blind_comparison
rater_02,brief-008::pair_ai_cdo_vs_sft,brief-008,proptech,AI-CDO_vs_SFT,A,10,5,9,5,10,5,9,7,8,22,blind_comparison
rater_02,brief-082::pair_ai_cdo_vs_sft,brief-082,edtech,AI-CDO_vs_SFT,A,9,7,10,7,9,7,8,7,12,21,blind_comparison
rater_02,brief-102::pair_ai_cdo_vs_baseline,brief-102,media,AI-CDO_vs_Baseline,A,10,6,10,7,9,7,9,5,9,28,blind_comparison
rater_02,brief-011::pair_sft_vs_baseline,brief-011,media,SFT_vs_Baseline,Tie,8,7,8,7,8,6,6,6,15,20,blind_comparison
rater_02,brief-128::pair_ai_cdo_vs_baseline,brief-128,healthcare,AI-CDO_vs_Baseline,A,9,6,9,7,10,5,8,5,10,18,blind_comparison
rater_02,brief-018::pair_ai_cdo_vs_baseline,brief-018,edtech,AI-CDO_vs_Baseline,A,10,7,9,6,8,7,9,5,9,20,blind_comparison
rater_02,brief-149::pair_sft_vs_baseline,brief-149,consumer,SFT_vs_Baseline,A,8,5,8,7,7,6,6,7,12,18,blind_comparison
rater_02,brief-058::pair_ai_cdo_vs_baseline,brief-058,healthcare,AI-CDO_vs_Baseline,A,10,7,9,7,10,6,9,5,13,18,blind_comparison
rater_02,brief-031::pair_ai_cdo_vs_sft,brief-031,proptech,AI-CDO_vs_SFT,A,10,5,9,7,10,7,8,6,8,26,blind_comparison
rater_02,brief-102::pair_ai_cdo_vs_sft,brief-102,media,AI-CDO_vs_SFT,A,9,5,9,5,10,5,10,5,12,21,blind_comparison
rater_02,brief-034::pair_ai_cdo_vs_baseline,brief-034,consumer,AI-CDO_vs_Baseline,A,10,5,9,7,8,6,8,6,9,28,blind_comparison
rater_02,brief-086::pair_sft_vs_baseline,brief-086,healthcare,SFT_vs_Baseline,B,7,7,7,7,8,6,8,6,14,22,blind_comparison
rater_02,brief-079::pair_ai_cdo_vs_baseline,brief-079,nonprofit,AI-CDO_vs_Baseline,A,10,6,9,6,10,7,9,5,11,23,blind_comparison
rater_02,brief-064::pair_ai_cdo_vs_sft,brief-064,proptech,AI-CDO_vs_SFT,A,10,6,9,7,10,6,9,6,11,21,blind_comparison
rater_02,brief-136::pair_ai_cdo_vs_baseline,brief-136,manufacturing,AI-CDO_vs_Baseline,A,8,6,10,6,8,5,9,7,13,19,blind_comparison
rater_02,brief-130::pair_ai_cdo_vs_baseline,brief-130,legal,AI-CDO_vs_Baseline,Tie,7,7,8,7,10,7,9,6,10,25,blind_comparison
rater_02,brief-046::pair_sft_vs_baseline,brief-046,government,SFT_vs_Baseline,A,7,6,8,7,7,5,6,7,13,19,blind_comparison
rater_02,brief-069::pair_ai_cdo_vs_baseline,brief-069,media,AI-CDO_vs_Baseline,A,8,6,9,7,8,6,8,5,12,19,blind_comparison
rater_02,brief-128::pair_sft_vs_baseline,brief-128,nonprofit,SFT_vs_Baseline,A,8,6,7,6,8,6,6,6,16,19,blind_comparison
rater_02,brief-069::pair_sft_vs_baseline,brief-069,saas,SFT_vs_Baseline,A,8,6,8,5,7,6,7,7,12,22,blind_comparison
rater_02,brief-029::pair_sft_vs_baseline,brief-029,consumer,SFT_vs_Baseline,B,7,5,7,7,8,7,8,7,13,21,blind_comparison
rater_02,brief-063::pair_ai_cdo_vs_sft,brief-063,legal,AI-CDO_vs_SFT,A,10,5,10,5,9,6,10,7,9,23,blind_comparison
rater_02,brief-078::pair_ai_cdo_vs_sft,brief-078,saas,AI-CDO_vs_SFT,A,9,5,10,6,9,7,8,6,10,22,blind_comparison
rater_02,brief-130::pair_ai_cdo_vs_sft,brief-130,media,AI-CDO_vs_SFT,A,10,6,9,6,9,7,10,5,8,23,blind_comparison
rater_02,brief-010::pair_sft_vs_baseline,brief-010,proptech,SFT_vs_Baseline,B,8,7,7,7,7,5,8,6,15,17,blind_comparison
rater_02,brief-145::pair_ai_cdo_vs_sft,brief-145,healthcare,AI-CDO_vs_SFT,A,10,7,10,5,10,6,9,5,10,18,blind_comparison
rater_02,brief-028::pair_ai_cdo_vs_baseline,brief-028,government,AI-CDO_vs_Baseline,A,9,5,9,7,9,6,8,5,11,20,blind_comparison
rater_02,brief-007::pair_ai_cdo_vs_baseline,brief-007,consumer,AI-CDO_vs_Baseline,A,8,5,9,6,8,6,9,6,9,22,blind_comparison
rater_02,brief-088::pair_ai_cdo_vs_sft,brief-088,healthcare,AI-CDO_vs_SFT,A,9,6,9,5,10,5,10,7,11,23,blind_comparison
rater_02,brief-061::pair_sft_vs_baseline,brief-061,ecommerce,SFT_vs_Baseline,A,7,7,8,5,8,6,6,6,16,20,blind_comparison
rater_02,brief-063::pair_sft_vs_baseline,brief-063,fintech,SFT_vs_Baseline,Tie,7,7,7,5,8,7,6,7,16,20,blind_comparison
rater_02,brief-019::pair_ai_cdo_vs_baseline,brief-019,ecommerce,AI-CDO_vs_Baseline,A,9,7,10,5,9,6,8,5,12,28,blind_comparison
rater_02,brief-023::pair_sft_vs_baseline,brief-023,manufacturing,SFT_vs_Baseline,A,7,6,7,6,7,7,8,7,13,16,blind_comparison
rater_02,brief-067::pair_sft_vs_baseline,brief-067,media,SFT_vs_Baseline,A,8,7,7,5,7,6,7,5,16,18,blind_comparison
rater_02,brief-133::pair_ai_cdo_vs_sft,brief-133,nonprofit,AI-CDO_vs_SFT,A,9,7,10,7,10,6,9,5,11,22,blind_comparison
rater_02,brief-149::pair_ai_cdo_vs_sft,brief-149,media,AI-CDO_vs_SFT,A,10,7,10,6,9,7,8,5,10,25,blind_comparison
rater_02,brief-012::pair_ai_cdo_vs_sft,brief-012,fintech,AI-CDO_vs_SFT,A,9,6,9,6,9,7,10,6,9,21,blind_comparison
rater_02,brief-112::pair_ai_cdo_vs_baseline,brief-112,saas,AI-CDO_vs_Baseline,Tie,8,7,8,7,9,6,9,5,9,20,blind_comparison
rater_02,brief-080::pair_ai_cdo_vs_sft,brief-080,government,AI-CDO_vs_SFT,A,9,6,10,6,10,7,9,5,11,19,blind_comparison
rater_02,brief-026::pair_ai_cdo_vs_baseline,brief-026,saas,AI-CDO_vs_Baseline,A,10,6,10,7,10,7,8,6,13,25,blind_comparison
rater_02,brief-119::pair_ai_cdo_vs_sft,brief-119,healthcare,AI-CDO_vs_SFT,A,9,6,10,5,9,5,10,5,11,18,blind_comparison
rater_02,brief-135::pair_ai_cdo_vs_sft,brief-135,healthcare,AI-CDO_vs_SFT,A,9,7,10,7,9,5,9,5,11,20,blind_comparison
rater_02,brief-022::pair_ai_cdo_vs_baseline,brief-022,ecommerce,AI-CDO_vs_Baseline,A,8,7,9,5,9,6,9,5,10,24,blind_comparison
rater_02,brief-062::pair_ai_cdo_vs_sft,brief-062,healthcare,AI-CDO_vs_SFT,A,10,5,9,5,10,7,9,7,12,21,blind_comparison
rater_02,brief-128::pair_ai_cdo_vs_sft,brief-128,manufacturing,AI-CDO_vs_SFT,A,9,7,9,6,9,6,9,6,12,24,blind_comparison
rater_02,brief-050::pair_sft_vs_baseline,brief-050,edtech,SFT_vs_Baseline,A,8,6,7,6,8,7,7,7,14,17,blind_comparison
rater_02,brief-098::pair_sft_vs_baseline,brief-098,nonprofit,SFT_vs_Baseline,Tie,8,5,7,5,7,6,6,6,14,22,blind_comparison
rater_02,brief-108::pair_ai_cdo_vs_baseline,brief-108,government,AI-CDO_vs_Baseline,A,8,6,9,5,9,6,9,5,11,18,blind_comparison
rater_02,brief-144::pair_sft_vs_baseline,brief-144,media,SFT_vs_Baseline,B,8,5,8,5,7,5,8,5,13,19,blind_comparison
rater_02,brief-050::pair_ai_cdo_vs_baseline,brief-050,nonprofit,AI-CDO_vs_Baseline,A,8,5,10,5,8,5,9,7,11,19,blind_comparison
rater_02,brief-075::pair_ai_cdo_vs_sft,brief-075,healthcare,AI-CDO_vs_SFT,A,10,6,9,6,10,6,8,5,9,22,blind_comparison
rater_02,brief-094::pair_ai_cdo_vs_baseline,brief-094,saas,AI-CDO_vs_Baseline,A,10,5,9,6,10,5,9,5,9,21,blind_comparison
rater_02,brief-110::pair_ai_cdo_vs_baseline,brief-110,proptech,AI-CDO_vs_Baseline,A,9,7,10,5,9,5,9,6,12,26,blind_comparison
rater_02,brief-104::pair_sft_vs_baseline,brief-104,consumer,SFT_vs_Baseline,B,8,7,7,5,7,6,7,6,13,22,blind_comparison
rater_02,brief-032::pair_ai_cdo_vs_sft,brief-032,healthcare,AI-CDO_vs_SFT,A,10,7,9,7,9,5,9,7,12,20,blind_comparison
rater_02,brief-009::pair_sft_vs_baseline,brief-009,consumer,SFT_vs_Baseline,A,7,6,8,6,8,6,6,7,16,16,blind_comparison
rater_02,brief-068::pair_ai_cdo_vs_sft,brief-068,manufacturing,AI-CDO_vs_SFT,A,10,5,10,7,10,5,10,7,10,23,blind_comparison
rater_02,brief-138::pair_sft_vs_baseline,brief-138,saas,SFT_vs_Baseline,B,8,6,7,6,7,6,7,7,16,16,blind_comparison
rater_02,brief-081::pair_ai_cdo_vs_baseline,brief-081,legal,AI-CDO_vs_Baseline,A,9,5,10,7,8,6,9,6,12,22,blind_comparison
rater_02,brief-012::pair_ai_cdo_vs_baseline,brief-012,manufacturing,AI-CDO_vs_Baseline,A,10,7,10,6,8,6,8,5,11,26,blind_comparison
rater_02,brief-120::pair_ai_cdo_vs_sft,brief-120,media,AI-CDO_vs_SFT,A,10,6,9,5,10,7,8,7,11,22,blind_comparison
rater_02,brief-031::pair_ai_cdo_vs_baseline,brief-031,fintech,AI-CDO_vs_Baseline,A,10,7,9,5,9,7,8,5,10,25,blind_comparison
rater_02,brief-083::pair_sft_vs_baseline,brief-083,edtech,SFT_vs_Baseline,Tie,7,6,7,5,8,7,8,6,13,22,blind_comparison
rater_02,brief-095::pair_ai_cdo_vs_sft,brief-095,edtech,AI-CDO_vs_SFT,A,9,5,10,6,9,7,8,5,8,24,blind_comparison
rater_02,brief-142::pair_ai_cdo_vs_sft,brief-142,healthcare,AI-CDO_vs_SFT,A,10,5,10,6,10,5,9,6,11,20,blind_comparison
rater_02,brief-129::pair_sft_vs_baseline,brief-129,legal,SFT_vs_Baseline,A,7,6,7,5,8,5,8,6,13,17,blind_comparison
rater_02,brief-090::pair_ai_cdo_vs_baseline,brief-090,nonprofit,AI-CDO_vs_Baseline,Tie,8,7,8,7,9,5,8,6,13,18,blind_comparison
rater_02,brief-018::pair_sft_vs_baseline,brief-018,manufacturing,SFT_vs_Baseline,A,8,6,7,6,8,7,7,6,15,20,blind_comparison
rater_02,brief-067::pair_ai_cdo_vs_baseline,brief-067,manufacturing,AI-CDO_vs_Baseline,A,10,5,10,6,10,5,8,5,9,26,blind_comparison
rater_02,brief-089::pair_ai_cdo_vs_baseline,brief-089,government,AI-CDO_vs_Baseline,Tie,7,7,7,7,10,6,8,6,12,25,blind_comparison
rater_02,brief-030::pair_ai_cdo_vs_sft,brief-030,healthcare,AI-CDO_vs_SFT,A,10,5,9,6,10,6,10,6,11,20,blind_comparison
rater_02,brief-029::pair_ai_cdo_vs_sft,brief-029,nonprofit,AI-CDO_vs_SFT,A,9,6,9,5,9,5,10,7,9,20,blind_comparison
rater_02,brief-116::pair_ai_cdo_vs_baseline,brief-116,healthcare,AI-CDO_vs_Baseline,A,9,6,9,7,9,6,9,5,10,22,blind_comparison
rater_02,brief-072::pair_sft_vs_baseline,brief-072,consumer,SFT_vs_Baseline,A,8,5,8,6,7,5,7,7,16,22,blind_comparison
rater_02,brief-057::pair_ai_cdo_vs_baseline,brief-057,legal,AI-CDO_vs_Baseline,A,9,6,10,7,8,6,8,6,12,25,blind_comparison
rater_02,brief-124::pair_ai_cdo_vs_sft,brief-124,ecommerce,AI-CDO_vs_SFT,A,9,5,10,5,9,7,8,5,10,23,blind_comparison
rater_02,brief-038::pair_ai_cdo_vs_baseline,brief-038,edtech,AI-CDO_vs_Baseline,A,10,6,10,6,8,5,8,7,11,23,blind_comparison
rater_02,brief-042::pair_ai_cdo_vs_sft,brief-042,fintech,AI-CDO_vs_SFT,A,10,5,10,6,10,7,9,6,12,22,blind_comparison
rater_02,brief-065::pair_ai_cdo_vs_baseline,brief-065,manufacturing,AI-CDO_vs_Baseline,A,9,7,10,6,8,5,8,6,10,23,blind_comparison
rater_02,brief-064::pair_sft_vs_baseline,brief-064,healthcare,SFT_vs_Baseline,A,8,7,8,5,8,5,8,6,15,19,blind_comparison
rater_02,brief-107::pair_ai_cdo_vs_sft,brief-107,fintech,AI-CDO_vs_SFT,A,9,6,10,5,9,6,8,7,10,22,blind_comparison
rater_02,brief-051::pair_ai_cdo_vs_sft,brief-051,saas,AI-CDO_vs_SFT,A,9,6,10,7,10,6,8,6,12,20,blind_comparison
rater_02,brief-014::pair_ai_cdo_vs_sft,brief-014,proptech,AI-CDO_vs_SFT,A,9,6,10,6,10,7,9,5,10,18,blind_comparison
rater_02,brief-095::pair_ai_cdo_vs_baseline,brief-095,fintech,AI-CDO_vs_Baseline,A,8,5,9,6,9,7,8,5,9,23,blind_comparison
rater_02,brief-067::pair_ai_cdo_vs_sft,brief-067,healthcare,AI-CDO_vs_SFT,A,10,7,9,5,9,6,8,6,8,25,blind_comparison
rater_02,brief-136::pair_ai_cdo_vs_sft,brief-136,media,AI-CDO_vs_SFT,A,10,7,10,5,10,7,10,7,10,23,blind_comparison
rater_02,brief-018::pair_ai_cdo_vs_sft,brief-018,media,AI-CDO_vs_SFT,A,10,6,10,5,10,5,8,6,9,18,blind_comparison
rater_02,brief-032::pair_ai_cdo_vs_baseline,brief-032,manufacturing,AI-CDO_vs_Baseline,Tie,7,8,7,8,8,6,8,5,11,27,blind_comparison
rater_02,brief-030::pair_ai_cdo_vs_baseline,brief-030,edtech,AI-CDO_vs_Baseline,A,9,6,9,6,9,5,8,7,11,25,blind_comparison
rater_02,brief-087::pair_ai_cdo_vs_baseline,brief-087,edtech,AI-CDO_vs_Baseline,A,8,6,10,7,9,7,8,5,13,20,blind_comparison
rater_02,brief-004::pair_ai_cdo_vs_baseline,brief-004,proptech,AI-CDO_vs_Baseline,A,8,7,9,5,8,7,9,7,12,20,blind_comparison
rater_02,brief-059::pair_ai_cdo_vs_sft,brief-059,ecommerce,AI-CDO_vs_SFT,A,9,5,9,7,10,5,8,5,8,21,blind_comparison
rater_02,brief-133::pair_ai_cdo_vs_baseline,brief-133,manufacturing,AI-CDO_vs_Baseline,Tie,7,7,8,7,10,6,9,5,10,26,blind_comparison
rater_02,brief-002::pair_ai_cdo_vs_baseline,brief-002,government,AI-CDO_vs_Baseline,A,8,5,9,5,10,5,8,5,13,20,blind_comparison
rater_02,brief-015::pair_sft_vs_baseline,brief-015,fintech,SFT_vs_Baseline,A,8,6,7,7,7,7,6,6,15,18,blind_comparison
rater_02,brief-050::pair_ai_cdo_vs_sft,brief-050,fintech,AI-CDO_vs_SFT,A,10,5,10,5,10,5,10,6,8,25,blind_comparison
rater_02,brief-063::pair_ai_cdo_vs_baseline,brief-063,ecommerce,AI-CDO_vs_Baseline,A,8,7,9,7,8,6,8,6,10,24,blind_comparison
rater_02,brief-073::pair_ai_cdo_vs_baseline,brief-073,media,AI-CDO_vs_Baseline,A,8,5,10,5,9,7,8,7,9,20,blind_comparison
rater_02,brief-111::pair_ai_cdo_vs_baseline,brief-111,media,AI-CDO_vs_Baseline,A,10,7,10,6,8,7,8,5,9,21,blind_comparison
rater_02,brief-042::pair_sft_vs_baseline,brief-042,media,SFT_vs_Baseline,A,7,6,7,6,8,6,6,7,13,18,blind_comparison
rater_02,brief-043::pair_ai_cdo_vs_baseline,brief-043,legal,AI-CDO_vs_Baseline,A,8,7,10,6,9,7,8,5,9,28,blind_comparison
